Rank,Player,Deck,Wins,Losses,Card,Count,Main/Side
7,Riley Hicks,Jund Sacrifice,8,3,Temple of Malice,2,Main
7,Riley Hicks,Jund Sacrifice,8,3,"Valki, God of Lies",3,Main
7,Riley Hicks,Jund Sacrifice,8,3,Village Rites,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Woe Strider,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Skyclave Shade,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Kazuul's Fury,1,Main
7,Riley Hicks,Jund Sacrifice,8,3,"Korvold, Fae-Cursed King",2,Main
7,Riley Hicks,Jund Sacrifice,8,3,Darkbore Pathway,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Hagra Mauling,1,Main
7,Riley Hicks,Jund Sacrifice,8,3,"Rankle, Master of Pranks",1,Main
7,Riley Hicks,Jund Sacrifice,8,3,Necromentia,1,Main
7,Riley Hicks,Jund Sacrifice,8,3,Duress,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Elspeth's Nightmare,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Heartless Act,2,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Ox of Agonas,2,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,"Klothys, God of Destiny",2,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,"Toski, Bearer of Secrets",1,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Embereth Shieldbreaker,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Necromentia,3,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,The Akroan War,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Masked Vandal,1,Sideboard
8,targetplayer,Selesnya Adventures,8,3,Giant Killer,4,Main
8,targetplayer,Selesnya Adventures,8,3,Forest,6,Main
8,targetplayer,Selesnya Adventures,8,3,Usher of the Fallen,4,Main
8,targetplayer,Selesnya Adventures,8,3,Shepherd of the Flock,4,Main
8,targetplayer,Selesnya Adventures,8,3,Edgewall Innkeeper,4,Main
8,targetplayer,Selesnya Adventures,8,3,Plains,7,Main
8,targetplayer,Selesnya Adventures,8,3,Seasoned Hallowblade,4,Main
8,targetplayer,Selesnya Adventures,8,3,Skyclave Apparition,4,Main
8,targetplayer,Selesnya Adventures,8,3,"Toski, Bearer of Secrets",4,Main
8,targetplayer,Selesnya Adventures,8,3,Lovestruck Beast,4,Main
8,targetplayer,Selesnya Adventures,8,3,Scavenging Ooze,2,Main
8,targetplayer,Selesnya Adventures,8,3,Maul of the Skyclaves,2,Main
8,targetplayer,Selesnya Adventures,8,3,Castle Ardenvale,2,Main
8,targetplayer,Selesnya Adventures,8,3,Kabira Takedown,2,Main
8,targetplayer,Selesnya Adventures,8,3,Branchloft Pathway,4,Main
8,targetplayer,Selesnya Adventures,8,3,Fabled Passage,2,Main
8,targetplayer,Selesnya Adventures,8,3,Temple of Plenty,1,Main
8,targetplayer,Selesnya Adventures,8,3,"Reidane, God of the Worthy",4,Sideboard
8,targetplayer,Selesnya Adventures,8,3,Chainweb Aracnir,3,Sideboard
8,targetplayer,Selesnya Adventures,8,3,Masked Vandal,2,Sideboard
8,targetplayer,Selesnya Adventures,8,3,Run Afoul,1,Sideboard
8,targetplayer,Selesnya Adventures,8,3,Luminarch Aspirant,2,Sideboard
8,targetplayer,Selesnya Adventures,8,3,Soul-Guide Lantern,3,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,"Anax, Hardened in the Forge",4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Bonecrusher Giant,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Embercleave,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Faceless Haven,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Fervent Champion,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Fireblade Charger,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Frost Bite,3,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Phoenix of Ash,2,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Rimrock Knight,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Robber of the Rich,4,Main
9,RobertTheBruce,Mono-Red Aggro,8,2, Snow-Covered Mountain,19,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,"Torbran, Thane of Red Fell",3,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Castle Embereth,1,Main
9,RobertTheBruce,Mono-Red Aggro,8,2,Ox of Agonas,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,Roiling Vortex,3,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,Scorching Dragonfire,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,Shredded Sails,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,The Akroan War,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,Redcap Melee,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8,2,Embereth Shieldbreaker,2,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Shark Typhoon,3,Main
10,Eliott_dragon,Dimir Control,8,2,Cling to Dust,1,Main
10,Eliott_dragon,Dimir Control,8,2,Snow-Covered Swamp,5,Main
10,Eliott_dragon,Dimir Control,8,2,Erebos's Intervention,1,Main
10,Eliott_dragon,Dimir Control,8,2,Disdainful Stroke,3,Main
10,Eliott_dragon,Dimir Control,8,2,Negate,4,Main
10,Eliott_dragon,Dimir Control,8,2,Omen of the Sea,4,Main
10,Eliott_dragon,Dimir Control,8,2,Eliminate,4,Main
10,Eliott_dragon,Dimir Control,8,2,Heartless Act,4,Main
10,Eliott_dragon,Dimir Control,8,2,Mazemind Tome,4,Main
10,Eliott_dragon,Dimir Control,8,2,Midnight Clock,2,Main
10,Eliott_dragon,Dimir Control,8,2,Saw It Coming,2,Main
10,Eliott_dragon,Dimir Control,8,2,Soul Shatter,3,Main
10,Eliott_dragon,Dimir Control,8,2,Graven Lore,4,Main
10,Eliott_dragon,Dimir Control,8,2,Shadows' Verdict,4,Main
10,Eliott_dragon,Dimir Control,8,2,Behold the Multiverse,2,Main
10,Eliott_dragon,Dimir Control,8,2,Jwari Disruption,3,Main
10,Eliott_dragon,Dimir Control,8,2,Dismal Backwater,3,Main
10,Eliott_dragon,Dimir Control,8,2,Field of Ruin,4,Main
10,Eliott_dragon,Dimir Control,8,2,Fabled Passage,1,Main
10,Eliott_dragon,Dimir Control,8,2,Crawling Barrens,3,Main
10,Eliott_dragon,Dimir Control,8,2,Snow-Covered Island,6,Main
10,Eliott_dragon,Dimir Control,8,2,Ice Tunnel,1,Main
10,Eliott_dragon,Dimir Control,8,2,Temple of Deceit,4,Main
10,Eliott_dragon,Dimir Control,8,2,Clearwater Pathway,4,Main
10,Eliott_dragon,Dimir Control,8,2,Castle Vantress,1,Main
10,Eliott_dragon,Dimir Control,8,2,"Yorion, Sky Nomad",1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Shark Typhoon,1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Behold the Multiverse,1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Duress,3,Sideboard
10,Eliott_dragon,Dimir Control,8,2,"Ugin, the Spirit Dragon",1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Skyclave Shade,1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Disdainful Stroke,1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Erebos's Intervention,2,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Saw It Coming,1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Mythos of Nethroi,1,Sideboard
10,Eliott_dragon,Dimir Control,8,2,Bloodchief's Thirst,2,Sideboard
11,cftsoc,Naya Fury,8,2,Edgewall Innkeeper,4,Main
11,cftsoc,Naya Fury,8,2,Forest,2,Main
11,cftsoc,Naya Fury,8,2,Lovestruck Beast,4,Main
11,cftsoc,Naya Fury,8,2,Unleash Fury,4,Main
11,cftsoc,Naya Fury,8,2,Mountain,2,Main
11,cftsoc,Naya Fury,8,2,Goldspan Dragon,4,Main
11,cftsoc,Naya Fury,8,2,Sejiri Shelter,4,Main
11,cftsoc,Naya Fury,8,2,Plains,1,Main
11,cftsoc,Naya Fury,8,2,Showdown of the Skalds,4,Main
