Rank,Player,Deck,Record,List
40,James Diamond,Temur Adventures,6/3/2000,"Companion
1 Obosh, the Preypiercer

Deck
4 Barkchannel Pathway
4 Brazen Borrower
4 Riverglide Pathway
4 Bonecrusher Giant
2 Fabled Passage
4 Edgewall Innkeeper
4 Goldspan Dragon
4 Island
3 Forest
3 Terror of the Peaks
2 Ketria Triome
3 Cultivate
4 Cragcrown Pathway
4 Genesis Ultimatum
2 The Great Henge
4 Lovestruck Beast
3 Beanstalk Giant
2 Mountain

Sideboard
3 Mystical Dispute
2 Klothys, God of Destiny
2 Chainweb Aracnir
2 Soul Sear
1 Obosh, the Preypiercer
1 Ox of Agonas
2 Koma, Cosmos Serpent
2 Miscast"
41,Francesco Saverio Caminada,Grixis Control,6/3/2000,"Companion
1 Jegantha, the Wellspring

Deck
4 Blightstep Pathway
4 Bonecrusher Giant
4 Claim the Firstborn
4 Fabled Passage
3 Immersturm Predator
2 Kroxa, Titan of Death's Hunger
2 Mountain
1 Island
4 The Akroan War
4 Riverglide Pathway
1 Miscast
4 Village Rites
3 Swamp
3 Woe Strider
3 Mire Triton
1 Kazuul's Fury
2 Temple of Deceit
2 Thassa, Deep-Dwelling
4 Clearwater Pathway
2 Heartless Act
2 Bloodchief's Thirst
1 Valki, God of Lies

Sideboard
1 Duress
2 Skyclave Shade
2 Ox of Agonas
1 Negate
2 Mystical Dispute
1 Jegantha, the Wellspring
1 Roiling Vortex
1 Kroxa, Titan of Death's Hunger
1 Disdainful Stroke
1 Soul-Guide Lantern
1 Agonizing Remorse
1 Miscast"
42,Luca Moretti,Sultai Ultimatum,6/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Forest
3 Swamp
3 Island
2 Negate
4 Cultivate
1 Temple of Mystery
3 Mystical Dispute
4 Fabled Passage
4 Omen of the Sea
4 Wolfwillow Haven
1 Kiora Bests the Sea God
3 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
1 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
4 Jwari Disruption
3 Shadows' Verdict
4 Barkchannel Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
4 Behold the Multiverse

Sideboard
3 Duress
1 Negate
1 Mystical Dispute
1 Cling to Dust
2 Polukranos, Unchained
1 Heartless Act
1 Yorion, Sky Nomad
1 Eliminate
1 Mazemind Tome
1 Shadows' Verdict
1 Koma, Cosmos Serpent
1 Crippling Fear"
43,Piotr Wiktorzak,Jeskai Cycling,6/3/2000,"Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
2 Memory Leak
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
3 Improbable Alliance
2 Brightclimb Pathway
3 Raugrin Triome
4 Needleverge Pathway
1 Blightstep Pathway
1 Clearwater Pathway
4 Hengegate Pathway
4 Riverglide Pathway
2 Shredded Sails

Sideboard
4 Irencrag Pyromancer
2 Redcap Melee
3 Disdainful Stroke
1 Lurrus of the Dream-Den
3 Mystical Dispute
2 Soul-Guide Lantern"
44,Philip Mahr,Grixis Control,6/3/2000,"Deck
3 Valki, God of Lies
1 Swamp
4 Bonecrusher Giant
4 Brazen Borrower
2 Mountain
4 Goldspan Dragon
2 Eliminate
4 Heartless Act
2 Saw It Coming
2 Behold the Multiverse
3 Shark Typhoon
4 Clearwater Pathway
4 Riverglide Pathway
4 Blightstep Pathway
4 Temple of Deceit
4 Temple of Epiphany
1 Shatterskull Smashing
4 Fae of Wishes
2 Negate
2 Island

Sideboard
1 Eliminate
1 Disdainful Stroke
3 Mystical Dispute
1 Extinction Event
1 Shadows' Verdict
1 Duress
1 Ugin, the Spirit Dragon
1 Shark Typhoon
1 Ashiok, Nightmare Muse
1 Negate
1 Soul Shatter
1 Redcap Melee
1 Shredded Sails"
45,Ruby Polanco,Rakdos Midrange,6/3/2000,"Deck
3 Scourge of the Skyclaves
3 Swamp
4 Mountain
2 Fling
2 Kazuul's Fury
3 Bonecrusher Giant
3 Kroxa, Titan of Death's Hunger
3 Woe Strider
4 Claim the Firstborn
2 The Akroan War
3 Agadeem's Awakening
4 Shatterskull Smashing
4 Blightstep Pathway
1 Castle Locthwain
4 Fabled Passage
3 Village Rites
2 Goldspan Dragon
3 Immersturm Predator
3 Magmatic Channeler
2 Heartless Act
2 Rankle, Master of Pranks

Sideboard
3 Skyclave Shade
3 Duress
2 The Akroan War
2 Shredded Sails
2 Ox of Agonas
2 Elspeth's Nightmare
1 Heartless Act"
46,Joel Enrique Arauz,Temur Adventures,6/3/2000,"Deck
4 Brazen Borrower
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Ketria Triome
4 Lovestruck Beast
3 Barkchannel Pathway
2 Kazandu Mammoth
4 Goldspan Dragon
4 Llanowar Visionary
3 The Great Henge
3 Forest
2 Mountain
3 Island
4 Riverglide Pathway
4 Cragcrown Pathway
2 Fabled Passage
2 Koma, Cosmos Serpent
4 Fire Prophecy

Sideboard
3 Negate
2 Ox of Agonas
3 Mystical Dispute
4 The Akroan War
2 Phoenix of Ash
1 Koma, Cosmos Serpent"
47,Leonardo Lima - HG Team,Esper Doom Foretold,6/3/2000,"Deck
4 Doom Foretold
2 Treacherous Blessing
4 Elspeth's Nightmare
2 Elspeth Conquers Death
4 Omen of the Sea
2 Dance of the Manse
4 Brightclimb Pathway
4 Clearwater Pathway
2 Yorion, Sky Nomad
2 Emeria's Call
2 Swamp
4 Hengegate Pathway
2 Omen of the Sun
2 Plains
3 Glass Casket
2 Island
4 Fabled Passage
4 Heartless Act
2 Gates of Istfell
3 Extinction Event
2 Negate

Sideboard
2 Disdainful Stroke
2 Mystical Dispute
3 Shark Typhoon
2 Eliminate
2 Tormod's Crypt
2 Soul Shatter
1 Extinction Event
1 Ashiok, Nightmare Muse"
48,Skub,Mono-Red Aggro,6/3/2000,"Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
1 Goldspan Dragon
1 Phoenix of Ash
3 Rimrock Knight
4 Robber of the Rich
19 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
3 Ox of Agonas
2 Phoenix of Ash
2 Scorching Dragonfire
3 Roiling Vortex
3 The Akroan War
1 Redcap Melee
1 Fire Prophecy"
49,Yuuki Ichikawa,Naya Adventures,5/3/2000,"Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
4 Unleash Fury
2 Plains
2 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
2 Forest
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
4 Shepherd of the Flock

Sideboard
1 Archon of Absolution
4 Fire Prophecy
2 Ox of Agonas
2 The Akroan War
2 Embereth Shieldbreaker
2 Roiling Vortex
2 Klothys, God of Destiny"
50,Ari Lax,Gruul Adventures,5/3/2000,"Deck
4 Lovestruck Beast
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Kazandu Mammoth
4 Brushfire Elemental
2 Scavenging Ooze
2 Questing Beast
2 Arni Brokenbrow
2 The Great Henge
4 Embercleave
2 The Akroan War
4 Shatterskull Smashing
2 Fire Prophecy
4 Cragcrown Pathway
8 Snow-Covered Forest
4 Snow-Covered Mountain
4 Fabled Passage

Sideboard
3 Soul Sear
2 Wilt
2 Frost Bite
2 Garruk, Unleashed
2 Klothys, God of Destiny
2 Vivien, Monsters' Advocate
1 Ox of Agonas
1 Fire Prophecy"
51,Daniel Dalesandro,Mono-Red Aggro,5/3/2000,"Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
2 Goldspan Dragon
4 Rimrock Knight
4 Robber of the Rich
18 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
3 Opportunistic Dragon
2 Ox of Agonas
2 Phoenix of Ash
2 Scorching Dragonfire
2 Roiling Vortex
2 The Akroan War
2 Redcap Melee"
52,oliver oguma,Jund Sacrifice,5/3/2000,"Deck
4 Bonecrusher Giant
2 Rankle, Master of Pranks
2 Korvold, Fae-Cursed King
2 Kroxa, Titan of Death's Hunger
4 Robber of the Rich
3 Valki, God of Lies
4 Woe Strider
4 Claim the Firstborn
2 Kazuul's Fury
4 Village Rites
4 The Akroan War
4 Blightstep Pathway
4 Cragcrown Pathway
4 Darkbore Pathway
4 Fabled Passage
1 Forest
2 Mountain
3 Swamp
2 Temple of Malice
1 Ox of Agonas

Sideboard
4 Roiling Vortex
2 Elspeth's Nightmare
2 Heartless Act
2 Duress
2 Klothys, God of Destiny
2 Ox of Agonas
1 Shackles of Treachery"
53,Steven Jacobsen,Naya Adventures,5/3/2000,"Deck
4 Giant Killer
2 Plains
4 Bonecrusher Giant
2 Mountain
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
1 Forest
4 Shepherd of the Flock

Sideboard
4 Archon of Absolution
2 Ox of Agonas
1 Phoenix of Ash
3 Fire Prophecy
3 Roiling Vortex
2 Redcap Melee"
54,Tim Schmeltz,Mono-White Aggro,5/3/2000,"Deck
3 Alseid of Life's Bounty
4 Faceless Haven
2 Giant Killer
4 Selfless Savior
2 Sentinel's Eyes
3 Speaker of the Heavens
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Maul of the Skyclaves
3 Reidane, God of the Worthy
4 Skyclave Apparition
2 Halvar, God of Battle
2 Lurrus of the Dream-Den
18 Snow-Covered Plains
1 Emeria's Call

Sideboard
2 Fight as One
2 Light of Hope
4 Drannith Magistrate
2 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer
2 Righteousness"
55,Mykhailo Yarysh,Mono-Red Aggro,5/3/2000,"Deck
4 Fervent Champion
19 Snow-Covered Mountain
4 Faceless Haven
1 Castle Embereth
3 Fireblade Charger
4 Rimrock Knight
4 Robber of the Rich
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Torbran, Thane of Red Fell
4 Embercleave
4 Frost Bite
2 Goldspan Dragon
1 Embereth Paladin

Sideboard
3 Ox of Agonas
2 Scorching Dragonfire
1 Shredded Sails
2 The Akroan War
2 Opportunistic Dragon
1 Cinderclasm
2 Roiling Vortex
2 Soul Sear"
56,Tyler Anderson,Izzet Tempo,5/3/2000,"Deck
2 Disdainful Stroke
4 Riverglide Pathway
2 Essence Scatter
2 Negate
4 Brazen Borrower
4 Saw It Coming
4 Behold the Multiverse
4 Shark Typhoon
3 Frost Bite
3 Volatile Fjord
4 Bonecrusher Giant
4 Goldspan Dragon
4 Fabled Passage
3 Faceless Haven
7 Snow-Covered Island
3 Snow-Covered Mountain
3 Shatterskull Smashing

Sideboard
3 Mystical Dispute
2 Storm's Wrath
2 Phoenix of Ash
3 Ox of Agonas
2 Negate
3 Scorching Dragonfire"
57,cesare cicolin,Gruul Adventures,5/3/2000,"Deck
8 Forest
4 Lovestruck Beast
2 Questing Beast
4 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
1 The Great Henge
5 Mountain
4 Fabled Passage
4 Cragcrown Pathway
4 Brushfire Elemental
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Goldspan Dragon
2 Scavenging Ooze
2 Snakeskin Veil

Sideboard
2 Ox of Agonas
3 Wilt
4 Scorching Dragonfire
2 Klothys, God of Destiny
3 Soul Sear
1 The Great Henge"
58,Frederick Tan,Gruul Adventures,5/3/2000,"Deck
4 Bonecrusher Giant
4 Embercleave
4 Edgewall Innkeeper
4 Lovestruck Beast
3 Questing Beast
2 The Akroan War
2 Scavenging Ooze
4 Fabled Passage
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Brushfire Elemental
4 Cragcrown Pathway
2 Arni Brokenbrow
3 Goldspan Dragon
8 Forest
4 Mountain

Sideboard
2 Ox of Agonas
2 Klothys, God of Destiny
2 Fire Prophecy
2 Vivien, Monsters' Advocate
3 Soul Sear
2 Roiling Vortex
2 Masked Vandal"
59,Drew Iafrate,Mono-Red Aggro,5/3/2000,"Deck
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
4 Embercleave
4 Robber of the Rich
2 Torbran, Thane of Red Fell
4 Fervent Champion
4 Rimrock Knight
18 Snow-Covered Mountain
4 Faceless Haven
2 Goldspan Dragon
4 Frost Bite
2 Castle Embereth
4 Fireblade Charger

Sideboard
2 Ox of Agonas
2 Scorching Dragonfire
2 The Akroan War
2 Soul Sear
2 Shredded Sails
4 Roiling Vortex
1 Phoenix of Ash"
60,xfile,Mono-Red Aggro,5/3/2000,"Deck
4 Anax, Hardened in the Forge
2 Arni Brokenbrow
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
4 Rimrock Knight
4 Robber of the Rich
18 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
4 Claim the Firstborn
3 Phoenix of Ash
4 Roiling Vortex
4 The Akroan War"
61,Ivan Von Loh,Izzet Tempo,5/3/2000,"Deck
4 Bonecrusher Giant
4 Brazen Borrower
4 Snow-Covered Mountain
4 Shark Typhoon
4 Frost Bite
4 Goldspan Dragon
3 Riverglide Pathway
3 Fabled Passage
4 Saw It Coming
2 Behold the Multiverse
2 Disdainful Stroke
2 Negate
3 Shatterskull Smashing
2 Essence Scatter
4 Volatile Fjord
7 Snow-Covered Island
2 Faceless Haven
2 Teferi, Master of Time

Sideboard
2 Mystical Dispute
2 Shredded Sails
1 Disdainful Stroke
2 Scorching Dragonfire
1 Soul-Guide Lantern
1 Glimpse of Freedom
3 Ox of Agonas
3 Blazing Volley"
62,Jhon Loor Andrade,Gruul Adventures,5/3/2000,"Deck
2 Questing Beast
2 Scavenging Ooze
4 Lovestruck Beast
4 Brushfire Elemental
4 Edgewall Innkeeper
4 Goldspan Dragon
4 Kazandu Mammoth
4 Bonecrusher Giant
1 The Great Henge
4 Embercleave
4 Shatterskull Smashing
4 Cragcrown Pathway
4 Fabled Passage
5 Mountain
8 Forest
2 Fire Prophecy

Sideboard
1 Garruk, Unleashed
2 Soul Sear
2 Klothys, God of Destiny
2 Ox of Agonas
2 Wilt
2 Fire Prophecy
2 The Akroan War
1 Phoenix of Ash
1 The Great Henge"
63,Arthur Carson,Four-color Combo,5/3/2000,"Deck
4 Stonecoil Serpent
3 Kiora Bests the Sea God
3 Dream Trawler
4 Temple of Abandon
4 Emergent Ultimatum
4 Genesis Ultimatum
1 Raugrin Triome
4 Ugin, the Spirit Dragon
4 Tormod's Crypt
1 Temple of Epiphany
3 Clearwater Pathway
4 Cragcrown Pathway
1 Needleverge Pathway
4 Riverglide Pathway
1 Alrund's Epiphany
1 Valki, God of Lies
4 Tibalt's Trickery
2 Esika, God of the Tree
1 Vorinclex, Monstrous Raider
2 Koma, Cosmos Serpent
3 Blightstep Pathway
3 The World Tree

Sideboard
4 Cultivate
1 Migration Path
1 Snow-Covered Swamp
2 Snow-Covered Island
2 Annul
4 Ilysian Caryatid
1 Snow-Covered Plains"
64,MASAHIDE MORIYAMA,Gruul Adventures,5/3/2000,"Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
3 Embercleave
4 Fabled Passage
2 Scavenging Ooze
4 Goldspan Dragon
4 Kazandu Mammoth
4 Lovestruck Beast
4 Forest
3 Questing Beast
4 Needleverge Pathway
4 Shatterskull Smashing
1 The Great Henge
3 Branchloft Pathway
2 Mountain
1 Plains
1 The Akroan War

Sideboard
2 Klothys, God of Destiny
2 Ox of Agonas
2 Scorching Dragonfire
3 Archon of Absolution
3 Drannith Magistrate
2 Redcap Melee
1 The Akroan War"
65,Franche Tan,Sultai Ultimatum,5/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Zagoth Triome
2 Island
4 Swamp
4 Forest
2 Jwari Disruption
4 Darkbore Pathway
4 Barkchannel Pathway
4 Clearwater Pathway
4 Fabled Passage
2 Ketria Triome
4 Omen of the Sea
4 Binding the Old Gods
2 Shadows' Verdict
4 Heartless Act
4 Cultivate
2 Alrund's Epiphany
4 Eliminate
2 Valki, God of Lies
2 Extinction Event
4 Emergent Ultimatum
1 Vorinclex, Monstrous Raider
2 Sea Gate Restoration
1 Kiora Bests the Sea God
2 Negate
4 Mazemind Tome
4 Wolfwillow Haven

Sideboard
1 Yorion, Sky Nomad
1 Glimpse of Freedom
2 Negate
1 Koma, Cosmos Serpent
2 Elder Gargaroth
4 Mystical Dispute
2 Crippling Fear
1 Cling to Dust
1 Shadows' Verdict"
66,krinring,Mono-Red Aggro,5/3/2000,"Deck
18 Snow-Covered Mountain
3 Frost Bite
4 Fervent Champion
4 Fireblade Charger
4 Rimrock Knight
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
2 Torbran, Thane of Red Fell
2 Goldspan Dragon
4 Embercleave
4 Faceless Haven
2 Castle Embereth
1 The Akroan War

Sideboard
2 Redcap Melee
2 Phoenix of Ash
2 Fire Prophecy
1 Shredded Sails
1 The Akroan War
1 Ox of Agonas
1 Opportunistic Dragon
2 Soul Sear
2 Embereth Paladin
1 Mythos of Vadrok"
67,Leon Milton,Sultai Ultimatum,5/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
2 Valki, God of Lies
2 Brazen Borrower
4 Heartless Act
1 Elspeth's Nightmare
3 Cultivate
2 Binding the Old Gods
4 Shadows' Verdict
4 Emergent Ultimatum
1 Vorinclex, Monstrous Raider
1 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Extinction Event
4 Zagoth Triome
1 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
4 Swamp
4 Forest
2 Island
4 Jwari Disruption
1 Shark Typhoon
2 Fabled Passage
2 Elder Gargaroth
4 Wolfwillow Haven
1 Migration Path
2 Lithoform Blight
2 Mazemind Tome
2 Fae of Wishes

Sideboard
1 Yorion, Sky Nomad
2 Mystical Dispute
1 Koma, Cosmos Serpent
1 Cling to Dust
1 Necromentia
1 Midnight Clock
3 Shark Typhoon
2 Negate
2 Pestilent Haze
1 Elder Gargaroth"
68,Omar B,Naya Adventures,5/3/2000,"Deck
3 Seasoned Hallowblade
3 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
4 Fabled Passage
3 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Plains
1 Forest
2 Mountain
2 Giant Killer

Sideboard
2 Archon of Absolution
3 The Akroan War
2 Reidane, God of the Worthy
2 Phoenix of Ash
2 Giant Killer
3 Fire Prophecy
1 Ox of Agonas"
69,Santi Delgado,Four-color Cycling,5/3/2000,"Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
3 Memory Leak
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
4 Improbable Alliance
2 Brightclimb Pathway
3 Raugrin Triome
4 Needleverge Pathway
1 Blightstep Pathway
1 Clearwater Pathway
4 Hengegate Pathway
4 Riverglide Pathway

Sideboard
2 Shatter the Sky
2 Roiling Vortex
2 Redcap Melee
2 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute
2 Glass Casket"
70,Misplacedginger,Gruul Adventures,5/3/2000,"Deck
4 Edgewall Innkeeper
4 Mountain
8 Forest
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
2 Questing Beast
4 Embercleave
4 Cragcrown Pathway
4 Fabled Passage
2 The Great Henge
2 The Akroan War
2 Arni Brokenbrow
2 Fire Prophecy

Sideboard
2 Wilt
3 Soul Sear
2 Ox of Agonas
2 Fire Prophecy
2 Klothys, God of Destiny
2 Vivien, Monsters' Advocate
2 Garruk, Unleashed"
71,Etherion,Mono-Red Aggro,5/3/2000,"Deck
2 Phoenix of Ash
2 Faceless Haven
2 Embercleave
2 Opportunistic Dragon
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
4 Robber of the Rich
2 Spikefield Hazard
4 Frost Bite
4 Fervent Champion
4 Akoum Hellhound
2 Castle Embereth
1 Fabled Passage
4 Dragonkin Berserker
15 Snow-Covered Mountain
2 Goldspan Dragon
2 Torbran, Thane of Red Fell

Sideboard
2 Ox of Agonas
2 The Akroan War
2 Scorching Dragonfire
3 Roiling Vortex
2 Phoenix of Ash
2 Soul Sear
2 Opportunistic Dragon"
72,Brandon Downs,Gruul Adventures,5/2/2000,"Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Mountain
4 Fabled Passage
4 Kazandu Mammoth
4 Lovestruck Beast
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
4 Goldspan Dragon
2 The Great Henge
8 Forest
1 Snakeskin Veil
1 Fire Prophecy

Sideboard
2 Scorching Dragonfire
2 Klothys, God of Destiny
2 Ox of Agonas
3 Soul Sear
1 Garruk, Unleashed
2 Vivien, Monsters' Advocate
2 Wilt
1 Embereth Shieldbreaker"
73,Michael Ingram,Mono-Red Aggro,4/3/2000,"Deck
4 Fervent Champion
19 Snow-Covered Mountain
3 Fireblade Charger
3 Frost Bite
4 Robber of the Rich
2 Rimrock Knight
3 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Torbran, Thane of Red Fell
3 Goldspan Dragon
3 Embercleave
1 Shatterskull Smashing
4 Faceless Haven
1 Castle Embereth
2 Dragonkin Berserker
1 Phoenix of Ash
1 The Akroan War

Sideboard
1 The Akroan War
3 Ox of Agonas
1 Phoenix of Ash
2 Soul Sear
2 Opportunistic Dragon
2 Redcap Melee
2 Roiling Vortex
2 Scorching Dragonfire"
74,Kasey Jarvis,Gruul Adventures,4/3/2000,"Deck
4 Lovestruck Beast
4 Fabled Passage
4 Bonecrusher Giant
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Kazandu Mammoth
4 Brushfire Elemental
2 Scavenging Ooze
2 Questing Beast
2 Arni Brokenbrow
2 The Great Henge
4 Embercleave
2 The Akroan War
4 Shatterskull Smashing
2 Fire Prophecy
8 Snow-Covered Forest
4 Snow-Covered Mountain

Sideboard
3 Soul Sear
2 Wilt
2 Frost Bite
2 Garruk, Unleashed
2 Klothys, God of Destiny
2 Vivien, Monsters' Advocate
1 Ox of Agonas
1 Fire Prophecy"
75,Maxime Mathy,Gruul Adventures,4/3/2000,"Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Fabled Passage
4 Goldspan Dragon
4 Kazandu Mammoth
4 Lovestruck Beast
7 Forest
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
2 Snakeskin Veil
2 Arni Brokenbrow
5 Mountain

Sideboard
2 Ox of Agonas
4 Scorching Dragonfire
2 Soul Sear
2 The Akroan War
3 Wilt
2 The Great Henge"
76,Robert McKee,Mono-Red Aggro,4/3/2000,"Deck
18 Snow-Covered Mountain
4 Frost Bite
4 Fervent Champion
4 Fireblade Charger
4 Rimrock Knight
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
2 Torbran, Thane of Red Fell
2 Goldspan Dragon
4 Embercleave
4 Faceless Haven
2 Castle Embereth

Sideboard
4 Redcap Melee
4 Phoenix of Ash
3 Scorching Dragonfire
4 Claim the Firstborn"
77,Rapsolo,Mono-White Aggro,4/3/2000,"Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Castle Ardenvale
1 Kabira Takedown

Sideboard
2 Drannith Magistrate
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
1 Giant Killer
3 Archon of Absolution
2 Disenchant"
78,Vonschuggle,Mono-Red Aggro,4/3/2000,"Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
2 Goldspan Dragon
4 Rimrock Knight
4 Robber of the Rich
18 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
3 Ox of Agonas
2 Phoenix of Ash
2 Scorching Dragonfire
2 Roiling Vortex
2 The Akroan War
2 Redcap Melee
2 Soul Sear"
79,Francesco Recchiuti,Rakdos Sacrifice,4/3/2000,"Deck
1 Castle Locthwain
4 Skyclave Shade
4 Claim the Firstborn
3 Rankle, Master of Pranks
4 Goldspan Dragon
2 Valki, God of Lies
4 Bonecrusher Giant
4 Woe Strider
3 Village Rites
2 The Akroan War
3 Shatterskull Smashing
4 Fabled Passage
4 Blightstep Pathway
4 Temple of Malice
5 Swamp
4 Mountain
2 Heartless Act
1 Agadeem's Awakening
2 Robber of the Rich

Sideboard
2 The Akroan War
4 Duress
3 Ox of Agonas
1 Heartless Act
1 Shredded Sails
2 Roiling Vortex
2 Bloodchief's Thirst"
80,Thierry Ramboa,Sultai Ultimatum,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
2 Valki, God of Lies
1 Negate
4 Heartless Act
2 Elspeth's Nightmare
4 Cultivate
4 Binding the Old Gods
3 Shadows' Verdict
4 Emergent Ultimatum
2 Alrund's Epiphany
1 Kiora Bests the Sea God
1 Disdainful Stroke
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
3 Sea Gate Restoration
4 Wolfwillow Haven
4 Forest
2 Island
1 Jwari Disruption
4 Fabled Passage
4 Mazemind Tome
4 Swamp
2 Eliminate
1 Extinction Event
1 Soul Shatter

Sideboard
1 Yorion, Sky Nomad
3 Negate
2 Cling to Dust
2 Duress
3 Shark Typhoon
4 Elder Gargaroth"
81,Joseph DeJoy,Sultai Ultimatum,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Wolfwillow Haven
4 Emergent Ultimatum
4 Cultivate
4 Shadows' Verdict
2 Negate
1 Extinction Event
2 Jwari Disruption
4 Heartless Act
2 Eliminate
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
4 Binding the Old Gods
2 Alrund's Epiphany
1 Kiora Bests the Sea God
4 Omen of the Sea
2 Sea Gate Restoration
2 Elspeth's Nightmare
3 Mazemind Tome
2 Ketria Triome
4 Zagoth Triome
4 Fabled Passage
4 Clearwater Pathway
4 Barkchannel Pathway
4 Darkbore Pathway
2 Island
4 Swamp
4 Forest

Sideboard
1 Yorion, Sky Nomad
4 Duress
2 Negate
2 Mystical Dispute
1 Polukranos, Unchained
1 Cling to Dust
1 Glimpse of Freedom
1 Crippling Fear
2 Elder Gargaroth"
