"Rank","Player","Deck","Wins","Losses","List"
"21","Andrew Baeckstrom","Dimir Rogues","7","2","Companion
1 Lurrus of the Dream-Den

Deck
3 Ruin Crab
4 Thieves' Guild Enforcer
4 Soaring Thought-Thief
4 Merfolk Windrobber
2 Eliminate
2 Didn't Say Please
2 Mystical Dispute
3 Heartless Act
4 Into the Story
4 Drown in the Loch
2 Of One Mind
2 Agadeem's Awakening
1 Castle Locthwain
3 Zagoth Triome
3 Temple of Deceit
4 Swamp
4 Fabled Passage
4 Clearwater Pathway
5 Island

Sideboard
1 Mystical Dispute
1 Lurrus of the Dream-Den
2 Lullmage's Domination
2 Negate
2 Cling to Dust
2 Crippling Fear
2 Dead Weight
3 Skyclave Shade"
"22","Paulo Henrique Dos Santos Pinto","Grixis Control","7","2","Deck
3 Shark Typhoon
4 Clearwater Pathway
4 Riverglide Pathway
2 Saw It Coming
4 Bonecrusher Giant
3 Valki, God of Lies
4 Heartless Act
4 Temple of Deceit
4 Temple of Epiphany
1 Swamp
4 Brazen Borrower
2 Island
2 Behold the Multiverse
3 Mazemind Tome
4 Blightstep Pathway
4 Goldspan Dragon
2 Shatterskull Smashing
2 Negate
1 Mountain
1 Eliminate
1 Erebos's Intervention
1 Disdainful Stroke

Sideboard
3 Mystical Dispute
2 Shadows' Verdict
2 Ox of Agonas
3 Duress
1 Scorching Dragonfire
1 Kroxa, Titan of Death's Hunger
1 Erebos's Intervention
2 Cinderclasm"
"23","Petros Tziotis","Sultai Ultimatum","7","2","Companion
1 Yorion, Sky Nomad

Deck
4 Emergent Ultimatum
4 Omen of the Sea
4 Wolfwillow Haven
4 Cultivate
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
3 Behold the Multiverse
2 Alrund's Epiphany
1 Kiora Bests the Sea God
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
1 Ketria Triome
4 Zagoth Triome
4 Fabled Passage
4 Forest
3 Swamp
3 Island
1 Temple of Mystery
1 Blightstep Pathway
4 Binding the Old Gods
2 Sea Gate Restoration
4 Jwari Disruption
3 Heartless Act
3 Shadows' Verdict
2 Agonizing Remorse
2 Mystical Dispute
2 Negate

Sideboard
1 Yorion, Sky Nomad
3 Duress
1 Negate
1 Cling to Dust
1 Crippling Fear
1 Eliminate
2 Elder Gargaroth
2 Polukranos, Unchained
1 Koma, Cosmos Serpent
1 Mazemind Tome
1 Soul Shatter"
"24","insanity","Mono-White Aggro","7","2","Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
4 Usher of the Fallen
3 Maul of the Skyclaves
4 Faceless Haven
19 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Legion Angel

Sideboard
3 Drannith Magistrate
3 Legion Angel
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer"
"25","Bjorn Telgenkamp","Mono-Red Aggro","7","2","Deck
1 Phoenix of Ash
2 Goldspan Dragon
2 Torbran, Thane of Red Fell
4 Bonecrusher Giant
3 Fireblade Charger
4 Anax, Hardened in the Forge
4 Robber of the Rich
2 Rimrock Knight
4 Fervent Champion
4 Embercleave
3 Frost Bite
2 Castle Embereth
4 Faceless Haven
19 Snow-Covered Mountain
2 Dragonkin Berserker

Sideboard
1 Redcap Melee
1 Frost Bite
2 The Akroan War
2 Phoenix of Ash
2 Scorching Dragonfire
3 Roiling Vortex
2 Ox of Agonas
2 Soul Sear"
"26","Tianhao Xu","Mono-White Aggro","7","2","Deck
1 Castle Ardenvale
18 Snow-Covered Plains
4 Faceless Haven
2 Giant Killer
4 Usher of the Fallen
4 Selfless Savior
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Maul of the Skyclaves
2 Reidane, God of the Worthy
4 Skyclave Apparition
2 Halvar, God of Battle
1 Legion Angel
4 Alseid of Life's Bounty
2 Sentinel's Eyes

Sideboard
4 Glass Casket
2 Drannith Magistrate
1 Reidane, God of the Worthy
2 Legion Angel
1 Soul-Guide Lantern
2 Giant Killer
3 Archon of Absolution"
"27","Jomy Alfonso","Mono-White Aggro","7","2","Deck
4 Alseid of Life's Bounty
4 Faceless Haven
1 Castle Ardenvale
3 Giant Killer
4 Selfless Savior
3 Usher of the Fallen
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Maul of the Skyclaves
3 Reidane, God of the Worthy
4 Skyclave Apparition
1 Legion Angel
3 Halvar, God of Battle
18 Snow-Covered Plains

Sideboard
1 Baneslayer Angel
2 Drannith Magistrate
4 Glass Casket
2 Legion Angel
2 Shadowspear
3 Archon of Absolution
1 Giant Killer"
"28","Alexander Gordon-Brown","Sultai Ultimatum","7","2","Companion
1 Yorion, Sky Nomad

Deck
4 Fabled Passage
4 Shadows' Verdict
2 Ketria Triome
4 Omen of the Sea
4 Zagoth Triome
4 Emergent Ultimatum
1 Kiora Bests the Sea God
1 Vorinclex, Monstrous Raider
3 Valki, God of Lies
4 Heartless Act
4 Cultivate
4 Binding the Old Gods
2 Polukranos, Unchained
4 Wolfwillow Haven
4 Alrund's Epiphany
4 Clearwater Pathway
4 Barkchannel Pathway
4 Darkbore Pathway
4 Jwari Disruption
3 Cragcrown Pathway
2 Forest
4 Swamp
2 Island
4 Elspeth's Nightmare

Sideboard
1 Yorion, Sky Nomad
3 Mystical Dispute
3 Duress
3 Behold the Multiverse
3 Saw It Coming
2 Negate"
"29","Achim Noffke","Temur Adventures (Obosh)","7","2","Companion
1 Obosh, the Preypiercer

Deck
4 Saw It Coming
4 Ketria Triome
4 Riverglide Pathway
2 Mountain
4 Bonecrusher Giant
4 Lovestruck Beast
2 Island
4 Alrund's Epiphany
4 Cragcrown Pathway
2 The Great Henge
2 Forest
4 Brazen Borrower
4 Edgewall Innkeeper
4 Goldspan Dragon
4 Barkchannel Pathway
4 Fabled Passage
4 Kazandu Mammoth

Sideboard
4 Mystical Dispute
2 Soul Sear
1 Obosh, the Preypiercer
3 Redcap Melee
2 Klothys, God of Destiny
2 Ox of Agonas
1 Broken Wings"
"30","Berk Elçi","Dimir Rogues","7","2","Companion
1 Lurrus of the Dream-Den

Deck
3 Merfolk Windrobber
4 Ruin Crab
4 Soaring Thought-Thief
4 Thieves' Guild Enforcer
2 Valki, God of Lies
2 Agadeem's Awakening
2 Bloodchief's Thirst
2 Lullmage's Domination
2 Of One Mind
4 Drown in the Loch
3 Heartless Act
4 Into the Story
1 Blightstep Pathway
4 Clearwater Pathway
4 Fabled Passage
4 Island
1 Riverglide Pathway
3 Swamp
4 Temple of Deceit
2 Zagoth Triome
1 Didn't Say Please

Sideboard
1 Bloodchief's Thirst
2 Cling to Dust
2 Crippling Fear
2 Disdainful Stroke
1 Lurrus of the Dream-Den
2 Mystical Dispute
3 Skyclave Shade
2 Negate"
"31","Florian Klein","Grixis Control","7","2","Companion
1 Jegantha, the Wellspring

Deck
4 Blightstep Pathway
4 Bonecrusher Giant
4 Claim the Firstborn
4 Fabled Passage
3 Immersturm Predator
2 Kroxa, Titan of Death's Hunger
2 Mountain
1 Island
4 The Akroan War
4 Riverglide Pathway
2 Valki, God of Lies
4 Village Rites
3 Swamp
4 Woe Strider
3 Mire Triton
2 Kazuul's Fury
2 Temple of Deceit
2 Thassa, Deep-Dwelling
4 Clearwater Pathway
2 Skyclave Shade

Sideboard
3 Duress
1 Skyclave Shade
2 Ox of Agonas
3 Disdainful Stroke
2 Mystical Dispute
1 Jegantha, the Wellspring
1 Roiling Vortex
2 Negate"
"32","Tian Fa Mun","Four-color Control","6","3","Companion
1 Yorion, Sky Nomad

Deck
3 Yorion, Sky Nomad
4 Omen of the Sea
2 Omen of the Sun
2 Archon of Sun's Grace
4 Heartless Act
2 Golden Egg
4 Extinction Event
2 Dance of the Manse
2 Treacherous Blessing
4 Elspeth's Nightmare
4 Doom Foretold
2 Swamp
2 Plains
2 Island
4 Fabled Passage
2 The Raven's Warning
1 Forest
4 Clearwater Pathway
4 Brightclimb Pathway
3 Eliminate
4 Hengegate Pathway
4 Zagoth Triome
2 Negate
4 Binding the Old Gods
3 Indatha Triome
2 Branchloft Pathway
2 Barkchannel Pathway
2 Emeria's Call

Sideboard
1 Yorion, Sky Nomad
1 Dance of the Manse
2 Mystical Dispute
1 Archon of Sun's Grace
1 Cling to Dust
2 Glass Casket
2 Disdainful Stroke
2 Negate
1 Chainweb Aracnir
2 Miscast"
"33","Tatsuaki Yajima","Mono-Red Aggro","6","3","Deck
4 Fervent Champion
2 Rimrock Knight
3 Frost Bite
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
3 Embercleave
4 Faceless Haven
20 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Shatterskull Smashing
1 Castle Embereth
2 Goldspan Dragon
3 Fireblade Charger
1 The Akroan War
2 Dragonkin Berserker

Sideboard
2 Ox of Agonas
2 Redcap Melee
1 Roiling Vortex
2 Embereth Paladin
1 Frost Bite
3 Embereth Shieldbreaker
3 Soul Sear
1 The Akroan War"
