"Rank","Player","Deck","Wins","Losses","List"
"114","Jaffer","Sultai Ultimatum","3","3","Companion
1 Yorion, Sky Nomad

Deck
1 Vorinclex, Monstrous Raider
2 Elder Gargaroth
2 Negate
2 Valki, God of Lies
3 Eliminate
4 Jwari Disruption
3 Heartless Act
2 Alrund's Epiphany
2 Sea Gate Restoration
3 Shadows' Verdict
4 Cultivate
4 Emergent Ultimatum
1 Kiora Bests the Sea God
3 Elspeth's Nightmare
3 Wolfwillow Haven
4 Binding the Old Gods
4 Omen of the Sea
1 Ketria Triome
1 Temple of Mystery
4 Swamp
4 Zagoth Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
4 Forest
3 Fabled Passage
1 Disdainful Stroke
3 Island

Sideboard
1 Polukranos, Unchained
3 Extinction Event
1 Yorion, Sky Nomad
2 Koma, Cosmos Serpent
1 Cling to Dust
3 Mystical Dispute
1 Eliminate
2 Negate
1 Disdainful Stroke"
"115","Larry Fields","Sultai Ultimatum","3","3","Companion
1 Yorion, Sky Nomad

Deck
4 Forest
4 Swamp
3 Island
2 Into the Roil
4 Cultivate
3 Fabled Passage
4 Omen of the Sea
1 Kiora Bests the Sea God
2 Elder Gargaroth
3 Extinction Event
4 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
2 Ketria Triome
3 Eliminate
4 Clearwater Pathway
4 Sea Gate Restoration
4 Jwari Disruption
2 Shadows' Verdict
4 Barkchannel Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
2 Bloodchief's Thirst

Sideboard
3 Duress
2 Negate
3 Mystical Dispute
4 Shark Typhoon
1 Yorion, Sky Nomad
1 Shadows' Verdict
1 Extinction Event"
"116","Alex Mykhno","Dimir Rogues","3","3","Deck
5 Swamp
1 Fabled Passage
4 Clearwater Pathway
4 Thieves' Guild Enforcer
7 Island
4 Drown in the Loch
4 Soaring Thought-Thief
4 Nighthawk Scavenger
3 Brazen Borrower
2 Temple of Deceit
1 Castle Locthwain
2 Zareth San, the Trickster
1 Rankle, Master of Pranks
1 Blackbloom Rogue
4 Lofty Denial
1 Agadeem's Awakening
2 Heartless Act
1 Zagoth Triome
3 Merfolk Windrobber
1 Slitherwisp
2 Blacklance Paragon
1 Into the Story
2 Bloodchief's Thirst

Sideboard
3 Crippling Fear
2 Miscast
2 Erebos's Intervention
1 Mystical Dispute
3 Weathered Runestone
2 Raise the Draugr
1 Heartless Act
1 Negate"
"117","Javier Vargas","Sultai Control","3","3","Companion
1 Yorion, Sky Nomad

Deck
4 Shark Typhoon
1 Faceless Haven
5 Snow-Covered Swamp
1 Erebos's Intervention
3 Disdainful Stroke
4 Negate
4 Omen of the Sea
4 Eliminate
4 Heartless Act
4 Mazemind Tome
3 Midnight Clock
2 Saw It Coming
2 Soul Shatter
4 Graven Lore
3 Shadows' Verdict
2 Behold the Multiverse
2 Jwari Disruption
1 Sea Gate Restoration
4 Field of Ruin
1 Fabled Passage
2 Crawling Barrens
6 Snow-Covered Island
4 Ice Tunnel
4 Temple of Deceit
4 Clearwater Pathway
1 Castle Vantress
1 Extinction Event

Sideboard
1 Yorion, Sky Nomad
1 Shadows' Verdict
1 Behold the Multiverse
3 Mystical Dispute
2 Ugin, the Spirit Dragon
3 Skyclave Shade
2 Erebos's Intervention
2 Saw It Coming"
"118","Chosi","Sultai Ultimatum","3","3","Deck
2 Alrund's Epiphany
4 Barkchannel Pathway
3 Beanstalk Giant
2 Brazen Borrower
4 Clearwater Pathway
3 Cultivate
4 Darkbore Pathway
4 Edgewall Innkeeper
3 Emergent Ultimatum
1 Extinction Event
2 Fabled Passage
4 Fae of Wishes
3 Forest
2 Island
1 Ketria Triome
1 Kiora Bests the Sea God
4 Lovestruck Beast
1 Mountain
1 Polukranos, Unchained
1 Shadows' Verdict
2 Swamp
1 The Great Henge
2 Valki, God of Lies
1 Vorinclex, Monstrous Raider
4 Zagoth Triome

Sideboard
2 Chainweb Aracnir
1 Cling to Dust
1 Duress
1 Emergent Ultimatum
1 Heartless Act
2 Mystical Dispute
2 Negate
1 Shadows' Verdict
1 Soul Shatter
2 Toski, Bearer of Secrets
1 Ugin, the Spirit Dragon"
"119","Jeff Sheerin","Gruul Adventures","3","3","Deck
1 Scavenging Ooze
4 Brushfire Elemental
4 Bonecrusher Giant
3 Embercleave
4 Fabled Passage
4 Cragcrown Pathway
9 Forest
2 The Great Henge
3 Goldspan Dragon
4 Shatterskull Smashing
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Kazandu Mammoth
4 Mountain
2 Fire Prophecy
2 Questing Beast
1 Primal Might
1 Embereth Shieldbreaker

Sideboard
1 Klothys, God of Destiny
2 Soul Sear
3 Ox of Agonas
2 Fire Prophecy
2 The Akroan War
2 Wilt
2 Roiling Vortex
1 Elder Gargaroth"
"120","Marios-Isidoros Doropoulos","Mono-White Aggro","3","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Kabira Takedown
1 Castle Ardenvale

Sideboard
2 Drannith Magistrate
2 Baneslayer Angel
2 Archon of Absolution
4 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer
2 Glorious Protector"
"121","Alex Brinkley","Sultai Ultimatum","3","3","Companion
1 Yorion, Sky Nomad

Deck
4 Forest
3 Swamp
3 Island
2 Negate
4 Cultivate
1 Temple of Mystery
3 Mystical Dispute
4 Fabled Passage
4 Omen of the Sea
4 Wolfwillow Haven
1 Kiora Bests the Sea God
3 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
1 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
4 Jwari Disruption
3 Shadows' Verdict
4 Barkchannel Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
4 Behold the Multiverse

Sideboard
3 Duress
1 Negate
1 Mystical Dispute
1 Cling to Dust
2 Polukranos, Unchained
1 Heartless Act
1 Yorion, Sky Nomad
1 Eliminate
1 Mazemind Tome
1 Koma, Cosmos Serpent
2 Crippling Fear"
"122","Hubald","Mono-White Aggro","3","3","Deck
2 Alseid of Life's Bounty
1 Castle Ardenvale
4 Faceless Haven
2 Giant Killer
2 Halvar, God of Battle
3 Sigrid, God-Favored
4 Luminarch Aspirant
4 Maul of the Skyclaves
4 Reidane, God of the Worthy
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
18 Snow-Covered Plains
3 Usher of the Fallen
1 Shadowspear

Sideboard
3 Drannith Magistrate
1 Giant Killer
3 Glass Casket
4 Glorious Protector
3 Soul-Guide Lantern
1 Shadowspear"
"123","Owen Donsker","Mono-White Aggro","3","3","Deck
4 Alseid of Life's Bounty
3 Giant Killer
2 Sentinel's Eyes
4 Usher of the Fallen
4 Selfless Savior
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Maul of the Skyclaves
2 Reidane, God of the Worthy
4 Skyclave Apparition
2 Legion Angel
18 Snow-Covered Plains
2 Castle Ardenvale
3 Faceless Haven

Sideboard
4 Glass Casket
2 Basri Ket
1 Reidane, God of the Worthy
2 Heliod's Intervention
2 Legion Angel
1 Sentinel's Eyes
2 Lurrus of the Dream-Den
1 Giant Killer"
"124","James Schlott","Boros Midrange","3","3","Deck
4 Drannith Magistrate
5 Snow-Covered Plains
3 Bonecrusher Giant
2 Shatterskull Smashing
2 Sigrid, God-Favored
4 Tibalt's Trickery
2 Emeria's Call
4 Showdown of the Skalds
2 Reidane, God of the Worthy
4 Snow-Covered Mountain
2 Feat of Resistance
1 Legion Angel
3 Goldspan Dragon
4 Frost Bite
4 Luminarch Aspirant
4 Needleverge Pathway
2 Temple of Triumph
2 Alpine Meadow
3 Archon of Emeria
2 Fabled Passage
1 Faceless Haven

Sideboard
3 Cinderclasm
3 Legion Angel
1 Baneslayer Angel
2 Skyclave Apparition
1 Journey to Oblivion
2 Phoenix of Ash
2 Soul-Guide Lantern
1 Ox of Agonas"
"125","Andrew Waldock","Mono-White Aggro","3","3","Deck
4 Faceless Haven
1 Castle Ardenvale
1 Legion Angel
2 Sentinel's Eyes
2 Reidane, God of the Worthy
18 Snow-Covered Plains
4 Maul of the Skyclaves
3 Usher of the Fallen
4 Skyclave Apparition
4 Selfless Savior
4 Seasoned Hallowblade
4 Luminarch Aspirant
3 Halvar, God of Battle
2 Giant Killer
4 Alseid of Life's Bounty

Sideboard
4 Glass Casket
2 Soul-Guide Lantern
3 Legion Angel
1 Drannith Magistrate
2 Giant Killer
1 Reidane, God of the Worthy
1 Heliod, Sun-Crowned
1 Basri Ket"
"126","DavidYhEEAA","Mono-White Aggro","3","3","Deck
3 Giant Killer
4 Selfless Savior
2 Clarion Spirit
3 Usher of the Fallen
3 Alseid of Life's Bounty
4 Luminarch Aspirant
2 Reidane, God of the Worthy
4 Seasoned Hallowblade
4 Skyclave Apparition
4 Faceless Haven
4 Maul of the Skyclaves
2 Lurrus of the Dream-Den
17 Snow-Covered Plains
2 Kabira Takedown
2 Halvar, God of Battle

Sideboard
1 Giant Killer
1 Reidane, God of the Worthy
3 Glass Casket
1 Glorious Protector
1 Heliod's Intervention
3 Drannith Magistrate
2 Soul-Guide Lantern
1 Sentinel's Eyes
2 Archon of Absolution"
"127","Marcelo Zorzi Pinarello","Mono-White Aggro","3","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
2 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
3 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Castle Ardenvale
1 Kabira Takedown

Sideboard
2 Drannith Magistrate
2 Glorious Protector
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer
2 Baneslayer Angel"
"128","Ben Sowards","Naya Fury","3","3","Deck
4 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Mountain
1 Forest
2 Plains

Sideboard
3 Archon of Absolution
2 Redcap Melee
3 Ox of Agonas
2 Drannith Magistrate
2 Fire Prophecy
3 Roiling Vortex"
"129","Ambaro","Abzan Doom Foretold","3","3","Companion
1 Yorion, Sky Nomad

Deck
1 Agadeem's Awakening
4 Indatha Triome
4 Runeforge Champion
4 In Search of Greatness
4 Gilded Goose
4 Fabled Passage
4 Darkbore Pathway
3 Yorion, Sky Nomad
2 Temple of Plenty
4 Forest
3 Setessan Champion
2 Rune of Sustenance
1 Rune of Mortality
2 Rune of Might
2 Swamp
2 Omen of the Dead
1 Omen of the Sun
1 Eerie Ultimatum
2 Temple of Malady
1 Calix, Destiny's Hand
3 Plains
2 Archon of Sun's Grace
1 Emeria's Call
3 Elspeth's Nightmare
4 Binding the Old Gods
3 Elspeth Conquers Death
4 Branchloft Pathway
4 Doom Foretold
4 Brightclimb Pathway
1 Field of Ruin

Sideboard
2 Aspect of Lamprey
1 Dead Weight
1 Yorion, Sky Nomad
1 Calix, Destiny's Hand
2 Mire's Grasp
1 Kogla, the Titan Ape
1 Elspeth Conquers Death
1 Elspeth's Nightmare
1 Polukranos, Unchained
1 Cling to Dust
1 Omen of the Sun
1 Drannith Magistrate
1 Tergrid, God of Fright"
"130","Lorenzo Lazzarino","Rakdos Midrange","3","3","Deck
4 Fabled Passage
4 Blightstep Pathway
3 The Akroan War
6 Mountain
1 Kazuul's Fury
5 Swamp
3 Woe Strider
2 Fling
2 Kroxa, Titan of Death's Hunger
2 Immersturm Predator
4 Skyclave Shade
4 Claim the Firstborn
2 Castle Locthwain
4 Bonecrusher Giant
4 Village Rites
1 Shatterskull Smashing
2 Goldspan Dragon
2 Agadeem's Awakening
3 Scourge of the Skyclaves
2 Valki, God of Lies

Sideboard
2 Agonizing Remorse
1 The Akroan War
2 Heartless Act
4 Duress
2 Shredded Sails
1 Kroxa, Titan of Death's Hunger
1 Bloodchief's Thirst
1 Redcap Melee
1 Rankle, Master of Pranks"
"131","Herman Cosie","Gruul Adventures","3","3","Deck
4 Brushfire Elemental
8 Forest
2 Scorching Dragonfire
4 Fabled Passage
4 Cragcrown Pathway
3 Questing Beast
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Kazandu Mammoth
4 Scavenging Ooze
3 Embercleave
2 The Akroan War
4 Shatterskull Smashing
2 Robber of the Rich
4 Mountain

Sideboard
2 The Akroan War
2 Ox of Agonas
2 Phoenix of Ash
3 Tormod's Crypt
2 The Great Henge
4 Roiling Vortex"
"132","Gabriel Nicholas","Gruul Adventures","3","2","Deck
8 Forest
4 Lovestruck Beast
2 Questing Beast
4 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
1 The Great Henge
5 Mountain
4 Fabled Passage
4 Cragcrown Pathway
4 Brushfire Elemental
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Goldspan Dragon
2 Scavenging Ooze
2 Snakeskin Veil

Sideboard
2 Ox of Agonas
3 Wilt
4 Scorching Dragonfire
2 Klothys, God of Destiny
3 Soul Sear
1 The Great Henge"
"133","Stone Cai","Mono-Red Aggro","3","2","Deck
4 Fervent Champion
19 Snow-Covered Mountain
4 Faceless Haven
1 Castle Embereth
3 Fireblade Charger
4 Rimrock Knight
4 Robber of the Rich
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Torbran, Thane of Red Fell
4 Embercleave
4 Frost Bite
2 Goldspan Dragon
1 Embereth Paladin

Sideboard
3 Ox of Agonas
2 Scorching Dragonfire
1 Shredded Sails
2 The Akroan War
2 Opportunistic Dragon
2 Roiling Vortex
2 Soul Sear
1 Cinderclasm"
"134","Brett Fox","Gruul Adventures","3","2","Deck
8 Forest
4 Lovestruck Beast
2 Questing Beast
4 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
1 The Great Henge
5 Mountain
4 Fabled Passage
4 Cragcrown Pathway
4 Brushfire Elemental
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Goldspan Dragon
2 Scavenging Ooze
2 Snakeskin Veil

Sideboard
1 Ox of Agonas
3 Wilt
4 Scorching Dragonfire
3 Klothys, God of Destiny
3 Soul Sear
1 The Great Henge"
"135","emiliano paoli","Four-color Cycling","3","2","Deck
3 Rielle, the Everwise
4 Brightclimb Pathway
2 Raugrin Triome
3 Clearwater Pathway
4 Riverglide Pathway
4 Needleverge Pathway
4 Flourishing Fox
4 Valiant Rescuer
4 Drannith Stinger
4 Footfall Crater
4 Zenith Flare
4 Go for Blood
4 Boon of the Wish-Giver
3 Startling Development
3 Memory Leak
2 Frostveil Ambush
2 Shredded Sails
1 Hengegate Pathway
1 Improbable Alliance

Sideboard
2 Negate
1 Shredded Sails
2 Mystical Dispute
3 Irencrag Pyromancer
2 Soul-Guide Lantern
2 Extinction Event
2 Suffocating Fumes
1 Improbable Alliance"
"136","Tyler Nightingale","Naya Fury","3","2","Deck
3 Seasoned Hallowblade
3 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
3 Fabled Passage
3 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Plains
2 Forest
2 Mountain
2 Giant Killer

Sideboard
2 Archon of Absolution
1 Ox of Agonas
2 The Akroan War
2 Reidane, God of the Worthy
4 Fire Prophecy
2 Phoenix of Ash
2 Giant Killer"
"137","toyokwsk","Naya Fury","3","2","Deck
4 Edgewall Innkeeper
2 Forest
4 Lovestruck Beast
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Goldspan Dragon
4 Showdown of the Skalds
2 Plains
4 Unleash Fury
4 Giant Killer
4 Sejiri Shelter
3 Shepherd of the Flock
3 Fabled Passage
4 Cragcrown Pathway
4 Branchloft Pathway
4 Needleverge Pathway

Sideboard
4 Scorching Dragonfire
2 The Akroan War
4 Archon of Absolution
3 Ox of Agonas
1 Run Afoul
1 Embereth Shieldbreaker"
"138","Charles McCaffrey","Four-color Cycling","3","2","Companion
1 Lurrus of the Dream-Den

Deck
4 Flourishing Fox
4 Brightclimb Pathway
4 Valiant Rescuer
3 Boon of the Wish-Giver
3 Frostveil Ambush
3 Footfall Crater
4 Drannith Stinger
4 Zenith Flare
4 Memory Leak
3 Go for Blood
4 Startling Development
1 Blightstep Pathway
2 Hengegate Pathway
4 Clearwater Pathway
4 Riverglide Pathway
4 Needleverge Pathway
3 Improbable Alliance
2 Easy Prey

Sideboard
2 Redcap Melee
2 Negate
1 Lurrus of the Dream-Den
2 Shatter the Sky
3 Glass Casket
3 Mystical Dispute
2 Shredded Sails"
"139","krowz","Sultai Ultimatum","3","2","Companion
1 Yorion, Sky Nomad

Deck
4 Zagoth Triome
4 Forest
4 Swamp
2 Island
1 Jwari Disruption
4 Darkbore Pathway
4 Barkchannel Pathway
4 Clearwater Pathway
4 Fabled Passage
2 Ketria Triome
4 Omen of the Sea
4 Binding the Old Gods
3 Shadows' Verdict
4 Heartless Act
4 Cultivate
2 Alrund's Epiphany
2 Eliminate
2 Valki, God of Lies
1 Extinction Event
4 Emergent Ultimatum
1 Disdainful Stroke
3 Sea Gate Restoration
1 Kiora Bests the Sea God
1 Negate
4 Mazemind Tome
4 Wolfwillow Haven
1 Soul Shatter
2 Elspeth's Nightmare

Sideboard
1 Yorion, Sky Nomad
2 Cling to Dust
2 Duress
3 Shark Typhoon
4 Elder Gargaroth
3 Negate"
"140","Sho Ota","Naya Fury","3","2","Deck
4 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
3 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Plains
2 Mountain
1 Forest
1 The Akroan War

Sideboard
3 Archon of Absolution
1 Redcap Melee
2 Ox of Agonas
2 Drannith Magistrate
4 Fire Prophecy
2 Roiling Vortex
1 The Akroan War"
"141","Anthony Riojas","Mono-White Aggro","2","3","Deck
2 Alseid of Life's Bounty
1 Castle Ardenvale
3 Reidane, God of the Worthy
4 Maul of the Skyclaves
4 Luminarch Aspirant
1 Legion Angel
3 Halvar, God of Battle
4 Faceless Haven
3 Usher of the Fallen
4 Skyclave Apparition
18 Snow-Covered Plains
1 Sentinel's Eyes
4 Selfless Savior
4 Seasoned Hallowblade
3 Giant Killer
1 Shadowspear

Sideboard
1 Lurrus of the Dream-Den
1 Heliod's Intervention
2 Legion Angel
4 Glass Casket
1 Funeral Longboat
2 Drannith Magistrate
1 Archon of Absolution
1 Baneslayer Angel
2 Soul-Guide Lantern"
"142","Marek Svačina","Gruul Adventures","2","3","Deck
4 Edgewall Innkeeper
4 Barkchannel Pathway
4 Forest
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
2 Questing Beast
3 Embercleave
4 Cragcrown Pathway
4 Fabled Passage
1 The Akroan War
4 Riverglide Pathway
4 Goldspan Dragon
2 Mountain
1 The Great Henge
1 Klothys, God of Destiny

Sideboard
2 Soul Sear
1 The Akroan War
2 Ox of Agonas
3 Scorching Dragonfire
1 Island
1 Wilt
2 Negate
1 Klothys, God of Destiny
2 Disdainful Stroke"
"143","piroki","Rakdos Sacrifice","2","3","Deck
4 Bonecrusher Giant
4 Fabled Passage
4 Blightstep Pathway
4 Woe Strider
4 Village Rites
3 Tymaret Calls the Dead
3 The Akroan War
2 Temple of Malice
3 Mountain
2 Immersturm Predator
2 Rankle, Master of Pranks
4 Mire Triton
4 Kroxa, Titan of Death's Hunger
4 Claim the Firstborn
3 Castle Locthwain
6 Swamp
2 Shatterskull Smashing
2 Heartless Act

Sideboard
2 Ox of Agonas
1 The Akroan War
4 Duress
2 Shredded Sails
1 Necromentia
2 Bloodchief's Thirst
3 Skyclave Shade"
"144","Alonso Astroza Tagle","Gruul Adventures","2","3","Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Fabled Passage
2 Fire Prophecy
4 Snow-Covered Mountain
2 Arni Brokenbrow
4 Kazandu Mammoth
4 Lovestruck Beast
8 Snow-Covered Forest
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
2 The Akroan War
2 The Great Henge

Sideboard
1 Scorching Dragonfire
2 Klothys, God of Destiny
1 Ox of Agonas
3 Soul Sear
2 Garruk, Unleashed
2 Vivien, Monsters' Advocate
2 Wilt
2 Frost Bite"
"145","Tritonmtg","Dimir Rogues","2","3","Companion
1 Lurrus of the Dream-Den

Deck
3 Agadeem's Awakening
2 Bloodchief's Thirst
4 Clearwater Pathway
1 Didn't Say Please
4 Drown in the Loch
1 Essence Scatter
4 Fabled Passage
2 Heartless Act
4 Into the Story
5 Island
3 Lullmage's Domination
3 Merfolk Windrobber
3 Of One Mind
4 Ruin Crab
4 Soaring Thought-Thief
3 Swamp
4 Temple of Deceit
4 Thieves' Guild Enforcer
2 Zagoth Triome

Sideboard
2 Bloodchief's Thirst
2 Cling to Dust
1 Lurrus of the Dream-Den
3 Mystical Dispute
3 Negate
4 Skyclave Shade"
"146","Adam Hernandez","Sultai Ultimatum","2","3","Deck
2 Valki, God of Lies
1 Vorinclex, Monstrous Raider
4 Omen of the Sea
4 Wolfwillow Haven
4 Binding the Old Gods
1 Kiora Bests the Sea God
3 Heartless Act
4 Jwari Disruption
2 Negate
3 Mystical Dispute
4 Cultivate
3 Shadows' Verdict
2 Alrund's Epiphany
4 Emergent Ultimatum
2 Sea Gate Restoration
4 Barkchannel Pathway
1 Blightstep Pathway
4 Clearwater Pathway
4 Darkbore Pathway
4 Fabled Passage
4 Forest
3 Island
1 Ketria Triome
3 Swamp
4 Zagoth Triome
1 Bala Ged Recovery
1 Burning-Rune Demon
3 Behold the Multiverse

Sideboard
1 Crippling Fear
1 Koma, Cosmos Serpent
1 Yorion, Sky Nomad
1 Cling to Dust
3 Duress
1 Eliminate
1 Heartless Act
1 Negate
1 Mystical Dispute
2 Polukranos, Unchained
1 Shadows' Verdict
1 Behold the Multiverse"
"147","Kyle Reichard","Dimir Rogues","2","3","Deck
2 Agadeem's Awakening
1 Blightstep Pathway
2 Bloodchief's Thirst
4 Clearwater Pathway
1 Didn't Say Please
4 Drown in the Loch
4 Fabled Passage
3 Heartless Act
4 Into the Story
3 Island
2 Lullmage's Domination
3 Merfolk Windrobber
2 Of One Mind
2 Riverglide Pathway
4 Ruin Crab
4 Soaring Thought-Thief
3 Swamp
4 Temple of Deceit
4 Thieves' Guild Enforcer
2 Valki, God of Lies
2 Zagoth Triome

Sideboard
2 Cling to Dust
3 Crippling Fear
2 Disdainful Stroke
1 Lullmage's Domination
1 Lurrus of the Dream-Den
3 Mystical Dispute
3 Skyclave Shade"
"148","Zachary Hehlo","Dimir Control","2","3","Deck
2 Crippling Fear
2 Swamp
4 Heartless Act
2 Crawling Barrens
2 Valki, God of Lies
1 Eliminate
2 Disdainful Stroke
2 Negate
4 Saw It Coming
4 Behold the Multiverse
4 Clearwater Pathway
4 Mazemind Tome
2 Island
3 Sea Gate Restoration
4 Fabled Passage
1 Hagra Mauling
1 Mountain
2 Bloodchief's Thirst
2 Essence Scatter
2 Extinction Event
3 Blightstep Pathway
2 Ashiok, Nightmare Muse
1 Riverglide Pathway
4 Temple of Deceit

Sideboard
2 Duress
1 Shadows' Verdict
2 Negate
4 Mystical Dispute
1 Cling to Dust
1 Eliminate
3 Pharika's Libation
1 Crippling Fear"
"149","Jackson Todd","Mono-Red Aggro","2","3","Deck
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
4 Rimrock Knight
4 Robber of the Rich
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Torbran, Thane of Red Fell
2 Goldspan Dragon
4 Embercleave
4 Shatterskull Smashing
4 Faceless Haven
16 Snow-Covered Mountain

Sideboard
3 Fire Prophecy
2 Roiling Vortex
2 Weathered Runestone
2 The Akroan War
2 Ox of Agonas
2 Embereth Shieldbreaker
2 Soul-Guide Lantern"
"150","Andrew Macarico","Mono-Green Aggro","2","3","Deck
4 Castle Garenbrig
4 Gemrazer
4 Old-Growth Troll
4 Questing Beast
4 Scavenging Ooze
4 Lovestruck Beast
19 Snow-Covered Forest
3 Swarm Shambler
3 The Great Henge
3 Primal Might
2 Yorvo, Lord of Garenbrig
4 Stonecoil Serpent
1 Nessian Hornbeetle
1 Faceless Haven

Sideboard
3 Garruk's Harbinger
2 Garruk, Unleashed
2 Vivien, Monsters' Advocate
3 Blizzard Brawl
2 Kogla, the Titan Ape
1 Tormod's Crypt
2 Weathered Runestone"
"151","Saverio Quinto","Dimir Control","2","3","Companion
1 Yorion, Sky Nomad

Deck
4 Shark Typhoon
1 Faceless Haven
1 Cling to Dust
5 Snow-Covered Swamp
1 Erebos's Intervention
3 Disdainful Stroke
4 Negate
4 Omen of the Sea
4 Eliminate
4 Heartless Act
4 Mazemind Tome
2 Midnight Clock
2 Saw It Coming
2 Soul Shatter
4 Graven Lore
3 Shadows' Verdict
2 Behold the Multiverse
2 Jwari Disruption
1 Sea Gate Restoration
4 Field of Ruin
1 Fabled Passage
2 Crawling Barrens
6 Snow-Covered Island
4 Ice Tunnel
4 Temple of Deceit
4 Clearwater Pathway
1 Castle Vantress
1 Extinction Event

Sideboard
1 Yorion, Sky Nomad
1 Shadows' Verdict
1 Behold the Multiverse
3 Duress
2 Ugin, the Spirit Dragon
3 Skyclave Shade
1 Disdainful Stroke
2 Erebos's Intervention
1 Saw It Coming"
"152","Roy Varney","Mono-White Aggro","2","3","Deck
3 Alseid of Life's Bounty
3 Giant Killer
4 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
20 Snow-Covered Plains
3 Reidane, God of the Worthy

Sideboard
1 Heliod's Intervention
4 Legion Angel
4 Glass Casket
1 Archon of Absolution
1 Giant Killer
2 Funeral Longboat
2 Sentinel's Eyes"
"153","Jovaras Komža","Gruul Adventures","2","3","Deck
4 Edgewall Innkeeper
4 Mountain
8 Forest
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
2 Questing Beast
3 Embercleave
4 Cragcrown Pathway
4 Fabled Passage
3 The Great Henge
2 The Akroan War
2 Arni Brokenbrow
2 Rimrock Knight

Sideboard
2 Wilt
2 Soul Sear
3 Ox of Agonas
2 Fire Prophecy
2 Klothys, God of Destiny
2 Vivien, Monsters' Advocate
2 The Akroan War"
