Rank,Player,Deck,Record,Card,Count,Main/Side
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Alrund's Epiphany,2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Kiora Bests the Sea God,1,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Zagoth Triome,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Ketria Triome,2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Barkchannel Pathway,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Darkbore Pathway,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Clearwater Pathway,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Sea Gate Restoration,2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Elspeth's Nightmare,1,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Forest,3,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Island,2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Jwari Disruption,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Fabled Passage,4,Main
